Path_ID,Sequence_Degrees,Is_Valid_Boundary,Holographic_Lock_Status,Forced_Tile_Count,Ambiguous_Layout_Dumps
PATH_SEQ_0001,"[-90°, -60°, 90°, -60°, 90°, 60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0002,"[-90°, -60°, 90°, -60°, 90°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0003,"[-90°, -60°, 90°, -60°, 90°, 60°, 0°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0004,"[-90°, -60°, 90°, -60°, 90°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0005,"[-90°, -60°, 90°, -60°, 90°, 60°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0006,"[-90°, -60°, 90°, 60°, 0°, 60°, -90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0007,"[-90°, -60°, 90°, 60°, 0°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0008,"[-90°, -60°, 90°, 60°, 0°, 60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0009,"[-90°, -60°, 90°, 60°, 0°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0010,"[-90°, -60°, 90°, 60°, 0°, 60°, 90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0011,"[-90°, 60°, -90°, 60°, 90°, -60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0012,"[-90°, 60°, -90°, 60°, 90°, -60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0013,"[-90°, 60°, -90°, 60°, 90°, -60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0014,"[-90°, 60°, -90°, 60°, 90°, -60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0015,"[-90°, 60°, -90°, 60°, 90°, -60°, 90°]",TRUE,Absolute Holographic Lock: Form forces 1 tile(s) to be completely stationary,1,
PATH_SEQ_0016,"[-90°, 60°, 0°, 60°, -90°, 60°, -90°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0017,"[-90°, 60°, 0°, 60°, -90°, 60°, -60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0018,"[-90°, 60°, 0°, 60°, -90°, 60°, 0°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
PATH_SEQ_0019,"[-90°, 60°, 0°, 60°, -90°, 60°, 60°]",FALSE,Rejected: Hereditary Prune (Forbidden Substring),0,
